N,config_label,tempo_medio
1,1P/1C,0.0300425
10,1P/1C,0.159298
100,1P/1C,0.0428831
1000,1P/1C,0.0285914
1,1P/2C,0.0499872
10,1P/2C,0.104396
100,1P/2C,0.0896888
1000,1P/2C,0.0805343
1,1P/4C,0.902899
10,1P/4C,0.196876
100,1P/4C,0.0832705
1000,1P/4C,0.0666806
1,1P/8C,1.59937
10,1P/8C,0.294078
100,1P/8C,0.131198
1000,1P/8C,0.0969927
1,2P/1C,0.211244
10,2P/1C,0.296419
100,2P/1C,0.133951
1000,2P/1C,0.119457
1,4P/1C,1.01109
10,4P/1C,0.270824
100,4P/1C,0.0939175
1000,4P/1C,0.0898399
1,8P/1C,1.56569
10,8P/1C,0.347142
100,8P/1C,0.139305
1000,8P/1C,0.114745
